id,asx_code,last_price,quantity,time_of_trade,sequence_number,internal_seq_number
1468,AIZ,59.5,15000,100642,10016993,48741
1469,AIZ,59.5,15000,100642,10016993,48741
1470,AIZ,59.5,15000,100642,10016993,48741
1471,AIZ,59.5,15000,100642,10016993,48741
1472,AIZ,59.5,15000,100642,10016993,48741
1473,AIZ,59.5,15000,100642,10016993,48741
1474,AIZ,59.5,15000,100642,10016993,48741
1475,AIZ,59.5,15000,100642,10016993,48741
1476,AIZ,59.5,15000,100642,10016993,48741
1477,AIZ,59.5,15000,100642,10016993,48741
1478,AIZ,59.5,15000,100642,10016993,48741
1479,AIZ,59.5,15000,100642,10016993,48741
1480,AIZ,59.5,15000,100642,10016993,48741
1481,AIZ,59.5,15000,100642,10016993,48741
1482,AIZ,59.5,15000,100642,10016993,48741
1483,AIZ,59.5,15000,100642,10016993,48741
1484,AIZ,59.5,15000,100642,10016993,48741
1485,AIZ,59.5,15000,100642,10016993,48741
1486,AIZ,59.5,15000,100642,10016993,48741
1487,AIZ,59.5,15000,100642,10016993,48741
1488,AIZ,59.5,15000,100642,10016993,48741
1489,AIZ,59.5,15000,100642,10016993,48741
1490,AIZ,59.5,15000,100642,10016993,48741
