id,asx_code,opening_price,higest_price,lowest_price,last_price,yesterday_closeprice,cumulative_volume,cumulative_value,best_bid_price,best_ask_price,number_of_trades,time_of_trade,security_status,best_bid_quantity,best_ask_quantity,number_of_buyers,number_of_sellers
2301,PAK,1.1,1.1,1.1,1.1,1.1,1410734,15518,1.1,1.2,5,101925,8,765220,283416,3,2
2302,PAM,50,51.5,50,51.5,46,100685,51603,46.5,51.5,24,150006,8,13193,27742,4,3
2303,PAN,0,0,0,0,0,0,0,0,0,0,,0,0,205911,0,10
2304,PAR,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2305,PAXX,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2306,PBH,0,0,0,249.5,0,89082,221176,0,0,134,101100,0,3915,0,5,0
2307,PBHG18,8,8,5,6,27,410,2580,0,0,5,144135,12,0,0,0,0
2308,PBHG38,7.5,8,7.5,8,0,162,1280,0,0,2,123447,12,0,0,0,0
2309,PBHKP8,3,5,3,4.5,18,500,2000,0,0,3,143655,12,0,0,0,0
2310,PBHM48,11,11,11,11,19,200,2200,0,0,1,141236,12,0,0,0,0
2311,PBHM58,40,40,40,40,41,7,280,0,0,1,114657,12,0,0,0,0
2312,PBHO,1.1,1.1,1.1,1.1,1.1,2093,23,1.1,1.8,1,133608,8,454438,1546,3,1
2313,PBHQO8,3,3,3,3,0,100,300,0,0,1,132834,12,0,0,0,0
2314,PBP,0,0,0,0,0,0,0,227,235,0,,0,8810,1000,0,0
2315,PBX,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2316,PCG,168,168,168,168,168,1830,3074,168,169,1,100727,12,648,2685,2,1
2317,PCI,103.5,103.5,102,102,102.5,439655,450743,102,103,50,161049,8,111497,127350,4,2
2318,PCK,0,0,0,0,0,292868,10371,0,0,7,101106,0,26388,0,2,0
2319,PCL,0,0,0,0,0,0,0,0,0,0,,0,28331520,0,65,0
2320,PDI,0,0,0,0,0,0,0,0,0,0,,0,388615,0,9,0
2321,PDL,0,0,0,0,0,0,0,0,0,0,,0,36762,11955,12,8
2322,PDN,0,0,0,71.7,0,492606,354231,71.5,72,166,101109,0,144637,40428,12,2
2323,PDNKOA,27,27,27,27,26.5,100000,27000,26.5,27.5,3,134954,4,1,1,1,1
2324,PE1,142,147.5,141.5,141.5,141,242138,350089,141.5,147.5,74,161049,8,8356,8913,1,1
2325,PEB,75.5,75.5,72,72,76,19389,14079,61.5,76,36,131651,8,5000,7916,1,1
2326,PEC,4.5,4.7,4.5,4.5,4.7,125500,5680,4.1,4.5,5,154731,8,25000,104369,1,1
2327,PEK,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2328,PEN,0,0,0,0,0,0,0,0,0,0,,0,894880,0,29,0
2329,PEX,21,21,21,21,21,1938255,407034,20,21.5,76,153540,8,100000,199899,1,2
2330,PFE,14.5,14.5,14.5,14.5,14,3551,515,14,14.5,2,100654,8,23460,2655,2,1
2331,PFG,0,0,0,0,0,0,0,18.5,19,0,,0,34730,66039,0,4
2332,PFP,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2333,PFT,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2334,PG1,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2335,PGC,0,0,0,0,0,0,0,0,0,0,,0,40795,0,4,0
2336,PGD,0,0,0,0,0,0,0,46,0,0,,0,12889,0,3,0
2337,PGF,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2338,PGG,0,0,0,0,0,0,0,0,0,0,,0,0,2195,0,0
2339,PGH,0,0,0,0,0,5863,12488,0,0,22,101034,0,1000,0,0,0
2340,PGL,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2341,PGM,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2342,PGO,61.5,63,61.5,63,61.5,20693,12980,61.5,64.5,4,155426,8,11815,7752,2,1
2343,PGY,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2344,PH2,0,0,0,0,0,0,0,0,0,0,,0,19518,0,4,0
2345,PHL,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2346,PHO,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2347,PIA,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2348,PIC,123,128,122,128,122,167305,208450,122,127,28,150207,8,65744,23000,4,2
2349,PICOA,0,0,0,0,0,0,0,0,0,0,,0,0,2714136,0,3
2350,PIL,0,0,0,0,0,0,0,0,0,0,,0,0,351631,0,4
2351,PIM,0,0,0,0,0,0,0,0,0,0,,0,0,13460,0,1
2352,PIQ,0,0,0,0,0,0,0,0,98,0,,0,0,2129,0,1
2353,PIXX,0,0,0,0,0,0,0,0,506,0,,0,0,3500,0,0
2354,PKO,2,2,1.9,1.9,2,345600,6613,1.9,2,8,153036,8,46398,100000,1,1
2355,PL8,0,0,0,0,0,0,0,122,0,0,,0,4000,0,1,0
2356,PLG,0,0,0,0,0,60000,2220,3.7,4,4,100820,0,115135,10000,0,0
2357,PLL,0,0,0,0,0,0,0,0,0,0,,0,4955,0,3,0
2358,PLS,0,0,0,289,0,1565968,4547059,288,0,427,101105,0,123814,0,17,0
2359,PLSJOB,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2360,PLSKOD,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2361,PLT,0,0,71.7,71.7,0,27354,19918,0,0,7,100828,0,0,11309,0,0
2362,PLUS,1640,1641,1636,1639,1637,18404,301183,1605,0,20,154036,8,580,0,1,0
2363,PLY,0,0,0,0,0,0,0,0,0,0,,0,0,13892,0,7
2364,PMC,0,0,128,128,0,76743,98489,0,129,13,100903,0,13957,15147,3,3
2365,PME,0,0,0,0,0,0,0,0,0,0,,0,40,314,3,9
2366,PMGOLD,0,0,0,0,0,0,0,0,0,0,,0,10000,0,1,0
2367,PMV,0,0,0,2228,0,5677,126326,2225,2230,183,101107,0,42,75,2,0
2368,PNC,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2369,PNI,0,0,0,0,0,0,0,0,801,0,,0,480,70,7,2
2370,PNM,0,0,0,0,0,0,0,0,7.5,0,,0,0,190000,0,0
2371,PNN,0,0,0,0,0,0,0,0,48,0,,0,0,8462,0,1
2372,PNR,0,0,0,0,0,0,0,0,0,0,,0,33665,0,1,0
2373,PNT,23.5,23.5,21.5,22,23.5,24468,5373,21,22.5,5,142929,8,50000,25000,1,1
2374,PNV,0,0,0,0,0,0,0,0,0,0,,0,7651,0,9,0
2375,PNX,0,0,0,0,0,0,0,0,0,0,,0,54676204,0,34,0
2376,PO3,27.5,27.5,27.5,27.5,27,15500,4263,30,35,4,103816,4,1282,1672,1,1
2377,POD,38,38,36.5,38,38,317651,120351,36.5,38,23,161049,8,16574,14406,1,1
2378,POS,0,0,0,0,0,0,0,0,0,0,,0,0,553220,0,5
2379,POU,1710,1710,1710,1710,1705,112,1915,1661,0,1,114430,4,102,0,1,0
2380,POW,0.8,0.8,0.8,0.8,0.8,200000,1600,0.8,0.9,3,153343,8,791711,4763203,1,13
2381,PPC,0,0,0,0,0,0,0,92,0,0,,0,5000,0,0,0
2382,PPCHB,10020,10020,10000,10000,10020,794,79448,10000,10170,3,155512,8,216,133,1,1
2383,PPE,0,0,0,0,0,0,0,325,330,0,,0,3689,1000,0,0
2384,PPG,0,0,0,0,0,0,0,0,102.5,0,,0,0,1800,0,0
2385,PPH,0,0,0,0,0,0,0,0,0,0,,0,0,10747,0,7
2386,PPK,0,0,0,0,0,0,0,0,0,0,,0,514,0,2,0
2387,PPL,5,5,4.8,4.8,5,379061,18380,4.8,4.9,6,154832,8,41000,18514,1,1
2388,PPM,0,0,0,0,0,0,0,181.5,183,0,,0,7180,296,0,0
2389,PPS,0,0,0,0,0,58088,34930,59.5,60,31,101057,0,15901,19631,4,3
2390,PPT,0,0,0,0,0,0,0,0,3187,0,,0,66,30,2,3
2391,PPY,5.9,5.9,5.9,5.9,5.9,147841,8723,5.9,6.5,4,100654,8,55001,10000,1,1
2392,PR1,20.5,20.5,20.5,20.5,21,15000,3075,20.5,22,1,123749,8,32507,15000,2,2
2393,PRL,0,0,8.6,8.6,0,63817,5562,8.5,0,8,101105,0,160011,0,6,0
2394,PRM,0,0,0,0,0,3515500,28124,0,0,22,100805,0,24493725,0,60,0
2395,PRMOB,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2396,PRN,0,0,0,0,0,0,0,0,0,0,,0,11279,0,10,0
2397,PRU,0,193.5,0,193.5,0,653475,1221011,193.5,194,260,101108,0,5615,11188,6,0
2398,PRUKOC,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2399,PRX,2.1,2.1,2.1,2.1,2.1,206158,4329,1.9,2.1,2,133344,8,118886,19465,2,1
2400,PSC,0,0,0,0,0,0,0,0,0,0,,0,9500,0,0,0
2401,PSI,0,0,0,0,0,0,0,0,463,0,,0,647,523,3,0
2402,PSQ,160,166,160,161.5,155,70533,113278,160.5,184,36,152143,8,3295,5230,1,1
2403,PTB,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2404,PTG,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2405,PTL,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2406,PTM,0,0,0,179.5,0,30869,55672,0,0,89,101106,0,472,15250,2,9
2407,PTR,0,0,0,0,0,0,0,0,0,0,,0,444760,0,9,0
2408,PTX,0,0,0,0,0,0,0,0,0,0,,0,0,49898,0,3
2409,PTXOC,9.8,10,9.5,9.5,11.5,159285,15535,9,9.7,7,153714,8,22056,50000,1,1
2410,PUA,0,0,0,0,0,0,0,0,1.5,0,,0,0,383848,0,4
2411,PUAOD,0.2,0.3,0.2,0.2,0.2,2200000,4600,0.2,0.4,5,135323,4,403334,306953,2,1
2412,PUR,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2413,PV1,0,0,0,0,0,63005,4876,0,0,6,100753,0,0,0,0,0
2414,PVL,8.6,8.6,8.4,8.4,8.6,653795,55587,8.4,9.4,8,155750,8,1904,170567,1,1
2415,PVS,36,36,36,36,36,13200,4752,36,38,2,135607,8,77,5000,1,1
2416,PVW,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2417,PWH,0,0,0,843,0,7945,67444,0,0,136,101108,0,0,0,0,0
2418,PWN,1.1,1.1,1.1,1.1,1,8755676,96312,1.1,1.2,30,154224,8,299999,9094878,2,11
2419,PWR,244,254,242,250,242,82144,203483,242,255,77,161049,8,24466,8418,2,1
2420,PX1,0,0,0,0,0,0,0,19,0,0,,0,15349,0,0,0
2421,PXA,0,0,0,0,0,0,0,0,0,0,,0,0,226,0,5
2422,PXS,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2423,PXX,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2424,PXXO,0.4,0.4,0.4,0.4,0.3,1328570,5314,0.4,0.5,4,144028,4,671430,446428,1,1
2425,PYC,7.3,7.3,6.9,7.1,7.2,460778,32677,6.5,7.1,18,161049,8,60000,144998,1,2
2426,QAL,193.5,197,193.5,197,198.5,179,347,192.5,198,3,101022,12,1000,1000,1,1
2427,QAN,0,0,0,536,0,205059,1092453,0,0,240,101057,0,9238,10220,0,0
2428,QAN4H9,5,5,5,5,28,150,750,0,0,1,130354,12,0,0,0,0
2429,QAN4J9,18,18,18,18,24.5,47,846,0,0,1,112107,12,0,0,0,0
2430,QAN8V8,7.5,7.5,7.5,7.5,0,300,2250,0,0,1,142015,12,0,0,0,0
2431,QAN9J7,10,10,10,10,0,100,1000,0,0,1,125608,12,0,0,0,0
2432,QAN9U8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2433,QAN9V8,45,45,45,45,0,2,90,0,0,1,121707,12,0,0,0,0
2434,QAN9X8,10,10,10,10,16,300,3000,0,0,1,115645,12,0,0,0,0
2435,QAND89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2436,QANE67,18,18,18,18,0,100,1800,0,0,1,125913,12,0,0,0,0
2437,QANEP7,10,10,10,10,0,100,1000,0,0,1,125956,12,0,0,0,0
2438,QANKOA,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2439,QANS29,8.5,10.5,8.5,10.5,9,780,7350,0,17,2,151024,12,0,200,0,1
2440,QAU,0,0,0,0,0,0,0,1640,1643,0,,0,42185,42000,4,3
2441,,0,0,0,0,0,0,0,0,1817,0,,0,0,500,0,1
2442,QBE,0,0,0,0,0,0,0,0,0,0,,0,3459,0,8,0
2443,QBE6U8,34,34,34,34,34,100,5200,0,0,1,114942,12,0,0,0,0
2444,QBEG57,53,53,53,53,128.5,100,5300,0,0,1,114716,12,0,0,0,0
2445,QBEK57,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2446,QBEKOB,475,475,475,475,490,8280,39330,0,0,2,101634,4,0,0,0,0
2447,QBELG7,6.5,6.5,6.5,6.5,0,60,390,0,0,1,111735,12,0,0,0,0
2448,QBEMW9,14.5,15,14.5,15,23,350,5175,0,0,3,135809,12,0,0,0,0
2449,QBEN19,43,43,43,43,42,2,86,0,0,1,120516,12,0,0,0,0
2450,QBEN29,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2451,QBEN87,82,82,82,82,0,11,902,0,0,1,110928,12,0,0,0,0
2452,QBENX7,12,12,12,12,0,300,3600,0,0,1,144106,12,0,0,0,0
2453,QBEPK7,0,0,0,0,0,100,5200,0,0,1,114942,12,0,0,0,0
2454,QBEQ59,13,13,13,13,13,200,2500,0,0,1,132925,12,0,0,0,0
2455,QBEQ79,17.5,20,17.5,20,27,33,585,0,0,2,132333,12,0,0,0,0
2456,QBEQ99,36.5,36.5,36.5,36.5,36.5,220,7530,0,0,2,132925,12,0,0,0,0
2457,QBEQA9,24,26.5,24,26.5,39,245,6155,0,0,5,112722,12,0,0,0,0
2458,QBEQE9,10.5,10.5,10.5,10.5,21,13,137,0,0,1,123437,12,0,0,0,0
2459,QEM,0,0,0,0,0,0,0,0,0,0,,0,50559,0,4,0
2460,QFE,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2461,QFN,0,0,0,0,0,0,0,0,0,0,,0,20750,20000,2,1
2462,QGL,0,0,0,0,0,0,0,41.5,0,0,,0,21087,889,4,2
2463,QHAL,3429,3580,3406,3408,3421,23473,804468,3270,4035,72,155617,8,30,830,1,1
2464,QHL,46,48,46,46.5,46,29677,13834,46,48,11,154131,8,32172,11498,2,2
2465,QIP,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2466,QLTY,0,0,0,0,0,0,0,0,1997,0,,0,0,147,0,1
2467,QMIX,2379,2379,2374,2374,2367,4488,106710,2300,3000,47,155009,8,435,819,1,1
2468,QML,24,24.5,24,24.5,24.5,110965,27073,24,24.5,3,132544,8,8047,7001,1,1
2469,QOZ,0,0,0,0,0,0,0,0,1541,0,,0,0,0,0,0
2470,QPM,0,0,0,0,0,0,0,0,0,0,,0,782073,0,0,0
2471,QPON,0,0,0,0,0,0,0,0,2560,0,,0,0,78,0,0
2472,QRE,0,0,0,0,0,0,0,0,828,0,,0,0,0,0,0
2473,QRI,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2474,QSML,1931,1931,1930,1930,1933,565,10906,0,2000,2,110444,8,0,454,0,1
2475,QUAL,0,0,0,0,0,0,0,0,0,0,,0,4879,42000,3,3
2476,QUB,0,0,0,0,0,0,0,0,0,0,,0,26247,34556,5,14
2477,QUBHA,0,0,0,0,0,0,0,0,0,0,,0,125,0,1,0
2478,QUS,0,0,0,0,0,0,0,3950,4160,0,,0,175,283,2,2
2479,QVE,0,0,0,0,0,0,0,0,0,0,,0,47604,0,2,0
2480,QXR,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2481,R3D,10,10,10,10,10,10000,1000,10,10.5,3,100654,8,134854,12510,6,1
2482,RAB,2.3,2.3,2.1,2.1,2.4,11000,245,2,4,2,140308,8,146667,4500,2,1
2483,RAC,0,0,0,173,0,3667,6365,0,174.5,11,100853,0,4003,4000,0,0
2484,RAD,0,0,0,0,0,0,0,0,20.5,0,,0,0,89800,0,0
2485,RAG,0,0,0,0,0,0,0,0,4.5,0,,0,0,50000,0,1
2486,RAGOC,2,2,2,2,1.6,200000,4000,1.9,2.1,2,154323,8,290000,865370,1,2
2487,RAN,0,0,0,0,0,0,0,0,0,0,,0,0,250000,0,2
2488,RAP,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2489,RARI,0,0,0,0,0,0,0,0,0,0,,0,12500,0,2,0
2490,RB6,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2491,RBD,1245,1245,1245,1245,1245,0,0,1000,1242,0,000000,4,4,14,1,1
2492,RBL,0,0,0,0,0,0,0,0,0,0,,0,24375,0,12,0
2493,RBTZ,0,0,0,0,0,0,0,0,966,0,,0,565,0,1,0
2494,RBX,17.5,17.5,17,17,17.5,93282,15913,17,17.5,8,134658,8,274,7367,1,1
2495,RC1,1.6,1.6,1.6,1.6,1.6,906030,14496,1.6,1.7,7,145517,8,61399,150000,1,1
2496,RCAP,182,182,181,181,181,2849,5158,165,0,2,133257,8,4500,0,1,0
2497,RCB,0,0,0,0,0,0,0,1917,2045,0,,0,30,229,0,0
2498,RCE,79,79,77.5,77.5,80,42675,33459,77.5,79,28,161049,8,840,500,1,1
2499,RCL,0,0,0,0,0,0,0,18,0,0,,0,3280,0,0,0
2500,RCP,3,3.1,3,3.1,3.1,606450,18570,3.1,3.3,14,161049,8,1745215,559979,1,3
2501,RCT,299.5,299.5,299.5,299.5,299.5,17,51,298,301,1,100719,12,20,72,1,1
2502,RCW,9.4,10,9.4,9.8,8.7,96553,9428,9.8,10.5,10,154513,4,68008,12500,3,1
2503,RD1,1.5,1.5,1.2,1.2,1.4,2000000,27580,1.2,1.5,9,161005,4,386031,98131,2,1
2504,RDG,0,0,0,0,0,253799,13198,5.1,5.2,8,101055,0,100000,188975,1,0
2505,RDM,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2506,RDN,1.1,1.2,1.1,1.2,1,2638227,29111,1,1.2,13,161049,8,7908013,89999,27,1
2507,RDS,0.8,0.8,0.8,0.8,0.8,610000,4880,0.7,0.8,5,104717,8,1802486,2586478,7,1
2508,RDT,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2509,RDV,0,0,0,0,0,0,0,2977,2996,0,,0,0,0,0,0
2510,RDY,0,0,0,0,0,0,0,289,0,0,,0,174,0,0,0
2511,REA,0,0,0,0,0,0,0,0,0,0,,0,0,41,0,2
2512,REC,0,0,0,0,0,0,0,0,28.5,0,,0,0,10000,0,0
2513,RED,0,0,0,0,0,0,0,0,0,0,,0,102191,0,8,0
2514,REE,0,0,0,0,0,0,0,0,0,0,,0,0,52540,0,2
2515,REG,0,0,0,0,0,0,0,0,0,0,,0,1640,9522,0,0
2516,REH,0,0,0,1504,0,11768,177163,1504,1505,166,101108,0,510,285,0,0
2517,REIT,1824,1824,1810,1813,1828,11359,206303,1809,2279,44,154612,8,833,75,1,1
2518,REM,19.5,19.5,17.5,17.5,19,50429,9019,18,21.5,13,152821,8,2898,2500,1,1
2519,REP,0,0,0,0,0,0,0,0,0,0,,0,0,22961,0,2
2520,REX,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2521,REZ,3.9,4,3.9,3.9,3.9,198766,7808,3.8,4.5,6,150139,8,120593,50000,3,1
2522,RF1,0,0,0,0,0,0,0,376,0,0,,0,1950,0,0,0
2523,RFA,5.5,5.5,5.2,5.2,5.3,514976,28287,5.2,5.5,3,114659,8,63024,190000,2,1
2524,RFF,0,0,300.5,300.5,0,6587,19839,0,0,26,101033,0,0,0,0,0
2525,RFG,0,0,0,0,0,0,0,0,0,0,,0,405838,0,2,0
2526,RFR,0,0,0,0,0,0,0,0,0,0,,0,330470,0,4,0
2527,RFT,5.3,6.4,5.2,5.4,5.3,5808007,337788,5.4,6,114,161049,8,17527,132000,1,2
2528,RFX,0,0,0,0,0,0,0,0,0,0,,0,310707,0,5,0
2529,RGB,0,0,0,0,0,0,0,1898,0,0,,0,1500,0,0,0
2530,RGL,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2531,RGS,4.4,4.4,4.4,4.4,4.6,25000,1100,4.3,4.6,1,102559,8,51069,15172,2,2
2532,RHC,0,0,0,0,0,30040,2339471,7788,7793,444,101109,0,82,1,2,0
2533,RHCJOA,2865,2878,2839,2848,2790,5000,142924,2857,2858,41,152542,4,1,1,1,1
2534,RHCPA,10058.9,10058.9,10000,10000,10058.9,4638,465522,10000,10055,13,155219,8,796,711,2,1
2535,RHT,8.8,8.8,8.1,8.1,8.2,630000,53208,8.2,8.5,11,154543,8,50000,150000,1,1
2536,RHY,0,0,0,0,0,0,0,0,120.5,0,,0,0,1749,0,1
2537,RIC,0,0,0,0,0,0,0,167,175,0,,0,4500,16831,0,0
2538,RIE,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1
2539,RIM,0,0,0,0,0,0,0,0.8,0,0,,0,65000,0,1,0
2540,RINC,0,0,0,0,0,0,0,902,0,0,,0,832,0,0,0
2541,RIO,0,0,0,11148,0,61177,6820595,11146,11150,999,101110,0,59,22,3,0
2542,RIO1K9,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2543,RIO2J8,150,150,150,150,191,58,8441,0,0,2,153519,12,0,0,0,0
2544,RIO2M8,100,100,100,100,97,4,408,0,0,1,144015,12,0,0,0,0
2545,RIO2Z9,229,229,229,229,350,100,23358,0,0,2,112440,12,0,0,0,0
2546,RIO3J9,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2547,RIO7U8,533,533,533,533,677,50,26650,0,0,1,113732,12,0,0,0,0
2548,RIODX9,70,70,70,70,0,3,214,0,0,1,141753,12,0,0,0,0
2549,RIODZ9,61,61,61,61,200,120,7466,0,0,6,125645,12,0,0,0,0
2550,RIOEM9,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2551,RIOEO9,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2552,RIOEU9,0,0,0,0,0,150,3060,0,0,3,142834,12,0,0,0,0
2553,RIOF57,0,0,0,0,0,225,36111,0,0,3,135909,12,0,0,0,0
2554,RIOF99,0,0,0,0,0,40,26030,0,0,1,134000,12,0,0,0,0
2555,RIOG79,61,61,61,61,61,150,15989,0,0,3,142834,12,0,0,0,0
2556,RIOG89,505,505,505,505,505,40,21910,0,0,1,134000,12,0,0,0,0
2557,RIOI47,104,104,104,104,104,40,3121,0,0,1,105202,12,0,0,0,0
2558,RIOIF9,255,255,255,255,0,4,1020,0,0,1,112007,12,0,0,0,0
2559,RIOJOB,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2560,RIOKOS,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2561,RIOKV8,50,50,50,50,150,4,204,0,0,1,102809,12,0,0,0,0
2562,RIOLT9,68,68,68,68,0,15,1040,0,0,1,120026,12,0,0,0,0
2563,RIOM87,2630,2630,2630,2630,3040,5,13413,0,0,1,130027,12,0,0,0,0
2564,RIOMG7,2450,2450,2450,2450,2760,5,12495,0,0,1,105808,12,0,0,0,0
2565,RIOQ59,330,330,330,330,0,10,3366,0,0,1,140945,12,0,0,0,0
2566,RIOQQ9,545,545,545,545,0,23,12786,0,0,1,112127,12,0,0,0,0
2567,RIORH8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2568,RIORK8,520,520,520,520,412,9,4774,0,0,1,111125,12,0,0,0,0
2569,RIORL8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2570,RIORM8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2571,RIORW8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2572,RIORY8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2573,RIOSU9,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2574,RIOTT8,722,722,722,722,0,100,72200,0,0,1,112356,12,0,0,0,0
2575,RIOTZ8,12,12,12,12,27.5,120,1440,0,0,1,103524,12,0,0,0,0
2576,RIOUC8,28,28,28,28,167,21,589,0,0,2,151247,12,0,0,0,0
2577,RIOUG8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2578,RIOUK8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2579,RIOUL8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2580,RIOUZ8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2581,RIOV18,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2582,RIOV28,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2583,RIOV48,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2584,RIOV58,490,490,490,490,0,24,11760,0,0,1,111645,12,0,0,0,0
2585,RIOV68,14,17,14,17,75,100,1460,0,0,2,112955,12,0,0,0,0
2586,RIOV88,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2587,RIOW28,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2588,RIOW78,145,145,145,145,115,40,5800,0,0,1,122019,12,0,0,0,0
2589,RIOW88,0,0,0,0,0,40,10000,0,0,1,133724,12,0,0,0,0
2590,RIOWI8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2591,RIOWM8,10,10,10,10,24,8,80,0,0,1,103525,12,0,0,0,0
2592,RIOXB8,0,0,0,0,0,1,1058,0,0,1,141147,12,0,0,0,0
2593,RIOXQ8,400.5,400.5,400.5,400.5,400.5,2,933,0,0,1,141147,12,0,0,0,0
2594,RIOXZ8,250,250,250,250,241,6,1500,0,275,1,103233,12,0,1,0,1
2595,RIOY28,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2596,RIOY48,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2597,RIOYC8,0,0,0,0,0,40,36560,0,0,1,133724,12,0,0,0,0
2598,RIOYN8,513,513,513,513,0,100,51300,0,0,1,113618,12,0,0,0,0
2599,RIOYX9,780,788,780,788,818,50,39240,0,0,2,151531,12,0,0,0,0
2600,RIOZ49,522,522,522,522,0,3,1566,0,0,1,105253,12,0,0,0,0
2601,RIOZ58,68,68,68,68,68,1,9,0,0,1,140459,12,0,0,0,0
2602,RIOZ98,17,17,17,17,98,80,1360,0,0,1,103524,12,0,0,0,0
2603,RIOZJ8,317,317,317,317,0,94,29798,0,0,1,113129,12,0,0,0,0
2604,RIOZP8,365,383,365,383,280,17,6347,0,0,3,145549,12,0,0,0,0
2605,RIOZR8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2606,RIOZT8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2607,RKN,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2608,RLC,2.8,2.9,2.8,2.9,2.8,628500,18161,2.7,2.9,4,100754,12,711560,739723,7,3
2609,RLF,16,16,15,15,16,74785,11774,15,16.5,8,155104,8,202674,1298,3,1
2610,RLT,0,0,0,0,0,0,0,0,313,0,,0,0,501,0,1
2611,RMC,0,0,0,0,0,0,0,0,0,0,,0,8776,0,5,0
2612,RMD,0,0,0,0,0,16417,452451,0,0,166,101101,0,445,200,4,1
2613,RMI,0,0,0,0,0,0,0,0,0,0,,0,303090,0,3,0
2614,RML,0,0,0,0,0,0,0,0,0,0,,0,12156481,0,18,0
2615,RMS,0,0,0,0,0,169029,235299,138.5,139,129,101107,0,20209,29089,10,9
2616,RMX,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2617,RMY,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
