id,asx_code,opening_price,higest_price,lowest_price,last_price,yesterday_closeprice,cumulative_volume,cumulative_value,best_bid_price,best_ask_price,number_of_trades,time_of_trade,security_status,best_bid_quantity,best_ask_quantity,number_of_buyers,number_of_sellers
2072,NACGA,9900,9900,9900,9900,9900,400,39600,9900,10000,3,103232,4,15,600,1,1
2073,NAE,0,0,0,0,0,0,0,0,0,0,,0,4902095,0,13,0
2074,NAM,0,0,0,0,0,68157,30919,45,46.5,9,,0,13456,25246,0,2
2075,NAN,0,0,0,0,0,0,0,0,0,0,,0,0,576,0,4
2076,NBI,0,0,0,0,0,0,0,0,0,0,,0,7398,0,3,0
2077,NC1,0,0,0,0,0,0,0,0,140.5,0,,0,0,1617,0,0
2078,NC6,8.5,8.8,8.5,8.5,8.8,361288,30934,8.5,8.8,14,161049,8,60681,100000,2,1
2079,NCC,99,100.5,98.5,100,99,77849,77480,98.5,100,24,161049,8,1131,11828,1,1
2080,NCCGA,9767,9767,9767,9767,9767,10,977,9650,9767,1,120835,8,80,947,1,2
2081,NCK,0,0,0,0,0,0,0,0,0,0,,0,266,2068,4,16
2082,NCL,7.6,8,7.6,7.6,7.6,97637,7540,7.6,8,4,150247,8,72546,30008,1,1
2083,NCM,0,0,0,0,0,137897,3488646,0,2541,551,101108,0,365,2735,4,7
2084,NCM8V7,109,109,109,109,0,12,1308,0,0,2,132006,12,0,0,0,0
2085,NCMBP8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2086,NCMBT9,63.5,63.5,63.5,63.5,0,45,2908,0,0,2,135315,12,0,0,0,0
2087,NCMBX9,25,25,25,25,0,60,1500,0,0,1,141335,12,0,0,0,0
2088,NCMC58,199,199,199,199,162,10,1990,0,0,1,132246,12,0,0,0,0
2089,NCMC78,233,233,233,233,276,10,2330,0,0,1,131539,12,0,0,0,0
2090,NCMCG8,227,227,223,223,0,20,4500,0,0,3,150109,12,0,0,0,0
2091,NCMCS9,56.5,56.5,52,52,0,820,45069,0,0,7,103740,12,0,0,0,0
2092,NCMCW9,15,15,15,15,0,120,1800,0,0,1,130239,12,0,0,0,0
2093,NCMD79,24,24,24,24,0,100,2400,0,0,1,112041,12,0,0,0,0
2094,NCMDR7,100,100,100,100,0,10,1000,0,0,1,133511,12,0,0,0,0
2095,NCMG49,46,46.5,46,46.5,0,40,1850,0,0,2,120336,12,0,0,0,0
2096,NCMG69,62,62,62,62,0,20,1240,0,0,1,115547,12,0,0,0,0
2097,NCMIN9,40,40,39,39,0,90,3570,0,0,2,134756,12,0,0,0,0
2098,NCMIS7,46,46,46,46,78,30,1380,0,0,1,111450,12,0,0,0,0
2099,NCMIU7,70,76,70,76,133,50,3710,0,0,3,115427,12,0,0,0,0
2100,NCMJOA,1404,1404,1404,1404,0,75,1053,1409,1410,1,101000,4,1,1,1,1
2101,NCMKO8,25.5,25.5,25.5,25.5,0,17,434,0,0,1,114212,12,0,0,0,0
2102,NCMKOL,0,0,0,0,0,0,0,0,807,0,,0,0,2000,0,0
2103,NCMKOW,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2104,NCMKS8,43,43,43,43,41,200,8600,0,0,1,103657,12,0,0,0,0
2105,NCMKU9,210,210,210,210,175,10,2100,0,0,1,133724,12,0,0,0,0
2106,NCMLT9,150,150,150,150,114,15,2250,0,0,1,105251,12,0,0,0,0
2107,NCMLX9,94,100,94,100,170,48,4560,0,0,3,113041,12,0,0,0,0
2108,NCMLZ9,86,86,81,81,69.5,45,3770,0,0,2,150638,12,0,0,0,0
2109,NCMM69,42,42,42,42,98,10,420,0,0,1,112200,12,0,0,0,0
