id,asx_code,order_type,buy,price,quantity,orderid,orderdate
89,GAL,0,1,79,5000,6916378100062B0A,"2022-05-25 06:51:45"
90,GAL,0,1,78.5,25000,6914CF410034536F,"2022-05-25 06:51:45"
91,GAL,0,1,77.5,12903,691D4141001821E9,"2022-05-25 06:51:45"
92,GAL,0,1,77.5,7000,691D414100373FE7,"2022-05-25 06:51:45"
93,GAL,0,1,77,30000,691637810006F68A,"2022-05-25 06:51:45"
94,GAL,0,1,76,2500,69136781002F290C,"2022-05-25 06:51:45"
95,GAL,0,1,76,7600,6914CF410018BF84,"2022-05-25 06:51:45"
96,GAL,0,1,76,8849,6914CF41000695B7,"2022-05-25 06:51:45"
97,GAL,0,1,75,5000,6916378100033E5A,"2022-05-25 06:51:45"
98,GAL,0,1,73,776,69119901003517A2,"2022-05-25 06:51:45"
99,GAL,0,1,73,1356,691D4141003DE222,"2022-05-25 06:51:45"
100,GAL,0,1,72.5,10000,69136781000318E9,"2022-05-25 06:51:45"
101,GAL,0,1,72,100000,6913678100030434,"2022-05-25 06:51:45"
102,GAL,0,1,72,5000,691637810003E448,"2022-05-25 06:51:45"
103,GAL,0,1,72,7800,691637810003E6AF,"2022-05-25 06:51:45"
104,GAL,0,1,70,10000,691367810003157E,"2022-05-25 06:51:45"
105,GAL,0,1,70,5000,69136781000FAB6C,"2022-05-25 06:51:45"
106,GAL,0,1,70,7142,6916378100043C18,"2022-05-25 06:51:45"
107,GAL,0,1,68.5,15182,69136781000E140C,"2022-05-25 06:51:45"
108,GAL,0,1,68,4700,691637810003440F,"2022-05-25 06:51:45"
109,GAL,0,1,67.5,72000,691367810020D3E8,"2022-05-25 06:51:45"
110,GAL,0,1,66,4000,6913678100103905,"2022-05-25 06:51:45"
111,GAL,0,1,66,5000,691367810019C1A0,"2022-05-25 06:51:45"
112,GAL,0,1,65,1538,69136781000E6433,"2022-05-25 06:51:45"
113,GAL,0,1,65,1500,69136781002BDE76,"2022-05-25 06:51:45"
114,GAL,0,1,63,3000,69136781000312CF,"2022-05-25 06:51:45"
115,GAL,0,1,63,9000,69136781000318E8,"2022-05-25 06:51:45"
116,GAL,0,1,62,8064,6911990100118D46,"2022-05-25 06:51:45"
117,GAL,0,1,62,2100,6911990100030308,"2022-05-25 06:51:45"
